truth_x,truth_y,truth_z,truth_vx,truth_vy,truth_vz,truth_roll,truth_pitch,truth_yaw,f_mode,armed,time_ms,imu_seq,cont_seq,log_seq,dt,imu_dt,hal_dt,rc_thr,rc_roll,rc_pitch,rc_yaw,t_roll,t_pitch,t_yaw,g_roll,g_pitch,g_yaw,a_roll,a_pitch,cor_roll,cor_pitch,err_roll,err_pitch,est_roll,est_pitch,est_yaw,gyr_b_x,gyr_b_y,gyr_b_z,accel_m,accel_w,ahrs_v,c_roll,c_pitch,c_yaw,m1,m2,m3,m4
12.4123,2.02807,17.1324,6.16532,1.24683,7.41065,-0.00385494,0.251154,-0.0119504,0,1,13600,0,0,0,0,0.002,0,0.484442,0.032967,0,0,0.207138,0,0,0.380797,-0.101152,0.0258979,-0.819728,-0.197364,0,0,0,0,-0.0294389,0.0727945,0.00340148,0,0,0,7.69229,0,1,-0.0152679,0.00619197,0,0.493518,0.475366,0.462982,0.505902
13.9405,2.25887,18.1638,6.56591,1.25383,6.95959,-0.00416287,0.238578,-0.0102869,0,1,13800,0,0,0,0,0.002,0,0.484442,0,0,0,0,0,0,-0.0753277,-0.04691,0.0178181,-0.844591,-0.2065,0,0,0,0,-0.0194349,0.0541207,0.00603518,0,0,0,7.71488,0,1,0,0,0,0.484442,0.484442,0.484442,0.484442
15.5055,2.4849,19.1148,6.94437,1.13756,6.51983,-0.0173579,0.220892,-0.00806316,0,1,14000,0,0,0,0,0.002,0,0.504576,0,0,0,0,0,0,-0.0938634,-0.176454,0.0125602,-0.948107,-0.219236,0,0,0,0,-0.0342895,0.0315475,0.00907389,0,0,0,8.1969,0,1,0.00534883,0.00995281,0,0.489274,0.519878,0.499972,0.50918
17.2063,2.72496,20.0647,7.28868,1.04202,6.25376,-0.029852,0.206117,-0.00455388,0,1,14200,0,0,0,0,0.002,0,0.528981,0,0,0,0,0,0,-0.0342696,-0.052533,0.0269839,-1.03242,-0.205026,0,0,0,0,-0.0477489,0.0128374,0.0136641,0,0,0,9.33018,0.523905,1,0,0,0,0.528981,0.528981,0.528981,0.528981
18.8389,2.95541,20.9195,7.57443,0.973088,5.89752,-0.042841,0.18957,-0.000204007,0,1,14400,0,0,0,0,0.002,0,0.452715,0,0,-0.20757,0,0,-0.652101,-0.0602884,-0.100549,0.0157127,-0.914005,-0.197779,0,0,0,0,-0.0607554,-0.00543974,0.0185819,0,0,0,7.25847,0,1,0,0.0056898,0,0.447025,0.458405,0.447025,0.458405
20.5916,3.20769,21.7238,7.8732,0.9317,5.15904,-0.0546958,0.167532,0.00616876,0,1,14600,0,0,0,0,0.002,0,0.455766,0,0,-0.253968,0,0,-0.797865,-0.0589971,-0.188703,0.0251768,-0.964464,-0.16097,0,0,0,0,-0.0741214,-0.0317807,0.0255322,0,0,0,6.90742,0,1,0,0.0106199,0,0.445146,0.466386,0.445146,0.466386
22.2491,3.45457,22.3568,8.10425,0.91138,4.32773,-0.0672897,0.149531,0.0132676,0,1,14800,0,0,0,0,0.002,0,0.409396,0,0,-0.391941,0,0,-1.23132,-0.0573418,-0.135364,0.0330827,-0.900945,-0.158342,0,0,0,0,-0.0892624,-0.057441,0.0334376,0,0,0,5.55097,0,1,0,0.00772549,-0.00508761,0.406758,0.422209,0.396583,0.412034
24.0097,3.72761,22.8595,8.28243,0.993857,3.32342,-0.058009,0.134871,0.0200777,0,1,15000,0,0,0,0,0.002,0,0.406955,0.042735,0,-0.442002,0.268512,0,-1.38859,0.0676416,-0.0876993,0.0353664,-0.91298,-0.168963,0,0,0,0,-0.0863066,-0.0797926,0.0425701,0,0,0,5.4927,0,1,0,0.00505784,-0.00572583,0.407623,0.417739,0.396172,0.406287
25.6614,3.99248,23.1665,8.40502,1.08492,2.32964,-0.0435728,0.119237,0.0237205,0,1,15200,0,0,0,0,0.002,0,0.348993,0.037851,0,-0.669109,0.237825,0,-2.10207,0.0629052,-0.0844659,-0.00412373,-0.879436,-0.154974,0,0,0,0,-0.0732022,-0.102036,0.0481402,0,0,0,4.95774,0,1,0,0,-0.00842177,0.357415,0.357415,0.340572,0.340572
27.4058,4.27751,23.2762,8.5081,1.17014,0.923776,-0.0347729,0.0991419,0.022847,0,1,15400,0,0,0,0,0.002,0,0.328859,0.032967,0,-0.793651,0.207138,0,-2.49333,0.0503569,-0.117789,-0.0169642,-0.72285,-0.150904,0,0,0,0,-0.0650317,-0.127263,0.0491714,0,0,0,3.53933,0,1,0,0.0064854,-0.00993545,0.332309,0.34528,0.312438,0.325409
