truth_x,truth_y,truth_z,truth_vx,truth_vy,truth_vz,truth_roll,truth_pitch,truth_yaw,f_mode,armed,time_ms,imu_seq,cont_seq,log_seq,dt,imu_dt,hal_dt,rc_thr,rc_roll,rc_pitch,rc_yaw,t_roll,t_pitch,t_yaw,g_roll,g_pitch,g_yaw,g_mag,a_roll,a_pitch,cor_roll,cor_pitch,err_roll,err_pitch,est_roll,est_pitch,est_yaw,gyr_b_x,gyr_b_y,gyr_b_z,accel_m,accel_w,ahrs_v,c_roll,c_pitch,c_yaw,m1,m2,m3,m4
0,-0,0.055,0,0,0,0,0,-0,0,1,32200,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0004,0.0086,-0.0126,0.0153,-0.0745,-0.0668,0,0,0,0,-0.007,0.0056,0.0108,0,0,0,9.7869,0.9821,1,0,-0.0001,0.0002,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,32400,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0048,-0.0055,-0.0065,0.0098,-0.0367,-0.0644,0,0,0,0,-0.0062,0.0058,0.0106,0,0,0,9.7632,0.9661,1,0.0001,0.0001,0.0001,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,32600,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0037,-0.0043,-0.0065,0.0087,-0.0535,-0.0694,0,0,0,0,-0.006,0.0064,0.0111,0,0,0,9.7723,0.9735,1,-0.0001,0.0001,0.0001,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,32800,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0127,0.0017,-0.0142,0.0191,-0.0285,-0.0313,0,0,0,0,-0.0066,0.0061,0.0104,0,0,0,9.7596,0.9581,1,-0.0002,-0,0.0002,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,33000,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0013,-0.0085,-0.0007,0.0086,-0.0405,-0.0832,0,0,0,0,-0.006,0.0066,0.0108,0,0,0,9.7699,0.9674,1,0,0.0001,0,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,33200,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0015,0.0004,0.0041,0.0044,-0.0571,-0.0489,0,0,0,0,-0.0056,0.0068,0.0109,0,0,0,9.7716,0.9741,1,-0,-0,-0,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,33400,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0.0099,0.0057,0.0069,0.0133,-0.0736,-0.0551,0,0,0,0,-0.0052,0.0062,0.0106,0,0,0,9.7612,0.966,1,0.0002,-0.0001,-0.0001,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,33600,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.003,-0.0027,-0.0098,0.0106,-0.0582,-0.0489,0,0,0,0,-0.0055,0.006,0.0107,0,0,0,9.7694,0.9736,1,-0,0,0.0001,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,33800,0,0,0,0,0.002,0,0,0,0,0,0,0,0,-0,-0.013,-0.0034,0.0135,-0.0302,-0.0571,0,0,0,0,-0.0053,0.0063,0.0117,0,0,0,9.7868,0.9793,1,0,0.0002,0,0.06,0.06,0.06,0.06
0,-0,0.055,0,0,0,0,0,-0,0,1,34000,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0.0038,0.002,0.0086,0.0096,-0.0345,-0.0517,0,0,0,0,-0.0055,0.0063,0.0121,0,0,0,9.7742,0.9719,1,-0.0001,-0,-0.0001,0.06,0.06,0.06,0.06
